school,total_enrollment,year,asian,black,hispanic,white,other,poverty
P.S. 015 Roberto Clemente,190,2013-14,9,72,104,3,2,171
P.S. 015 Roberto Clemente,183,2014-15,8,65,107,2,1,169
P.S. 015 Roberto Clemente,176,2015-16,9,57,105,2,3,149
P.S. 015 Roberto Clemente,178,2016-17,14,51,105,4,4,152
P.S. 015 Roberto Clemente,190,2017-18,20,52,110,6,2,161
P.S. 019 Asher Levy,285,2013-14,41,56,148,30,10,213
P.S. 019 Asher Levy,270,2014-15,30,47,158,27,8,200
P.S. 019 Asher Levy,270,2015-16,27,55,169,16,3,217
P.S. 019 Asher Levy,271,2016-17,24,51,180,15,1,207
P.S. 019 Asher Levy,257,2017-18,23,49,166,16,3,197
P.S. 020 Anna Silver,631,2013-14,223,54,314,24,16,448
P.S. 020 Anna Silver,633,2014-15,231,53,309,25,15,411
P.S. 020 Anna Silver,581,2015-16,204,46,286,24,21,353
P.S. 020 Anna Silver,540,2016-17,175,52,264,27,22,315
P.S. 020 Anna Silver,497,2017-18,147,51,264,16,19,356
P.S. 034 Franklin D. Roosevelt,393,2013-14,26,108,246,12,1,373
P.S. 034 Franklin D. Roosevelt,395,2014-15,25,110,245,14,1,381
P.S. 034 Franklin D. Roosevelt,394,2015-16,18,113,249,14,0,384
P.S. 034 Franklin D. Roosevelt,350,2016-17,19,102,216,11,2,348
P.S. 034 Franklin D. Roosevelt,333,2017-18,11,106,204,9,3,325
The STAR Academy - P.S.63,179,2013-14,13,45,101,17,3,145
The STAR Academy - P.S.63,199,2014-15,14,41,124,20,0,166
The STAR Academy - P.S.63,203,2015-16,9,40,131,21,2,172
The STAR Academy - P.S.63,200,2016-17,8,37,129,21,5,165
The STAR Academy - P.S.63,203,2017-18,6,37,128,24,8,166
P.S. 064 Robert Simon,287,2013-14,17,65,173,27,5,259
P.S. 064 Robert Simon,282,2014-15,20,51,185,21,5,266
P.S. 064 Robert Simon,258,2015-16,19,49,169,19,2,240
P.S. 064 Robert Simon,247,2016-17,13,48,167,16,3,239
P.S. 064 Robert Simon,245,2017-18,11,51,167,13,3,223
P.S. 110 Florence Nightingale,416,2013-14,57,40,183,116,20,221
P.S. 110 Florence Nightingale,419,2014-15,54,41,186,122,16,217
P.S. 110 Florence Nightingale,394,2015-16,63,39,170,106,16,213
P.S. 110 Florence Nightingale,383,2016-17,70,37,161,105,10,221
P.S. 110 Florence Nightingale,379,2017-18,64,37,168,99,11,235
P.S. 134 Henrietta Szold,318,2013-14,84,63,162,9,0,294
P.S. 134 Henrietta Szold,255,2014-15,65,49,133,8,0,238
P.S. 134 Henrietta Szold,263,2015-16,56,53,145,7,2,244
P.S. 134 Henrietta Szold,354,2016-17,55,71,213,10,5,319
P.S. 134 Henrietta Szold,297,2017-18,33,64,182,11,7,269
P.S. 140 Nathan Straus,393,2013-14,22,50,310,10,1,314
P.S. 140 Nathan Straus,380,2014-15,21,40,302,15,2,290
P.S. 140 Nathan Straus,376,2015-16,20,47,292,13,4,296
P.S. 140 Nathan Straus,382,2016-17,18,45,304,11,4,287
P.S. 140 Nathan Straus,371,2017-18,21,46,292,10,2,324
P.S. 142 Amalia Castro,384,2013-14,24,53,285,7,15,375
P.S. 142 Amalia Castro,386,2014-15,21,55,294,6,10,372
P.S. 142 Amalia Castro,354,2015-16,23,40,277,8,6,341
P.S. 142 Amalia Castro,356,2016-17,17,42,285,4,8,349
P.S. 142 Amalia Castro,340,2017-18,8,43,281,1,7,331
P.S. 184m Shuang Wen,668,2013-14,523,20,54,55,16,474
P.S. 184m Shuang Wen,665,2014-15,499,21,58,58,29,459
P.S. 184m Shuang Wen,663,2015-16,471,24,77,57,34,468
P.S. 184m Shuang Wen,672,2016-17,468,30,81,57,36,461
P.S. 184m Shuang Wen,684,2017-18,475,25,92,50,42,462
P.S. 188 The Island School,501,2013-14,12,140,327,21,1,437
P.S. 188 The Island School,482,2014-15,9,151,297,24,1,412
P.S. 188 The Island School,489,2015-16,9,145,312,21,2,424
P.S. 188 The Island School,445,2016-17,10,141,278,15,1,382
P.S. 188 The Island School,433,2017-18,8,127,286,12,0,396
Orchard Collegiate Academy,323,2013-14,44,84,172,10,13,271
Orchard Collegiate Academy,255,2014-15,32,66,142,9,6,227
Orchard Collegiate Academy,185,2015-16,22,49,106,6,2,163
Orchard Collegiate Academy,140,2016-17,21,34,77,7,1,128
Orchard Collegiate Academy,171,2017-18,19,43,97,8,4,156
"Technology, Arts, and Sciences Studio",158,2013-14,16,39,94,5,4,144
"Technology, Arts, and Sciences Studio",149,2014-15,12,40,87,5,5,129
"Technology, Arts, and Sciences Studio",156,2015-16,12,45,86,7,6,127
"Technology, Arts, and Sciences Studio",127,2016-17,11,41,65,6,4,98
"Technology, Arts, and Sciences Studio",106,2017-18,4,34,58,6,4,87
The East Village Community School,276,2013-14,22,33,67,136,18,89
The East Village Community School,289,2014-15,29,32,64,147,17,83
The East Village Community School,299,2015-16,28,26,62,164,19,66
The East Village Community School,315,2016-17,32,17,61,184,21,71
The East Village Community School,318,2017-18,32,17,64,183,22,80
University Neighborhood Middle School,100,2013-14,5,17,75,0,3,94
University Neighborhood Middle School,86,2014-15,4,18,57,4,3,75
University Neighborhood Middle School,110,2015-16,6,30,69,4,1,96
University Neighborhood Middle School,234,2016-17,22,67,133,11,1,205
University Neighborhood Middle School,203,2017-18,18,47,128,8,2,178
The Children's Workshop School,258,2013-14,37,31,84,102,4,124
The Children's Workshop School,255,2014-15,29,29,92,101,4,119
The Children's Workshop School,267,2015-16,27,28,104,102,6,128
The Children's Workshop School,295,2016-17,30,29,114,108,14,142
The Children's Workshop School,315,2017-18,31,29,124,111,20,142
Neighborhood School,300,2013-14,29,43,92,130,6,134
Neighborhood School,302,2014-15,22,45,87,144,4,121
Neighborhood School,313,2015-16,17,40,107,141,8,122
Neighborhood School,304,2016-17,15,33,105,142,9,121
Neighborhood School,304,2017-18,19,28,106,140,11,133
Earth School,318,2013-14,32,36,101,123,26,132
Earth School,321,2014-15,24,45,109,122,21,139
Earth School,340,2015-16,25,43,120,127,25,157
Earth School,331,2016-17,20,43,113,127,28,164
Earth School,355,2017-18,24,40,139,121,31,188
School for Global Leaders,244,2013-14,32,51,152,4,5,174
School for Global Leaders,235,2014-15,38,54,132,6,5,170
School for Global Leaders,264,2015-16,40,59,154,5,6,183
School for Global Leaders,283,2016-17,41,77,156,5,4,195
School for Global Leaders,256,2017-18,35,70,145,4,2,205
University Neighborhood High School,299,2013-14,98,75,116,8,2,272
University Neighborhood High School,304,2014-15,92,74,125,11,2,272
University Neighborhood High School,343,2015-16,96,93,142,10,2,303
University Neighborhood High School,392,2016-17,119,94,166,11,2,351
Cascades High School,222,2013-14,3,100,107,11,1,176
University Neighborhood High School,465,2017-18,141,100,206,15,3,406
East Side Community School,649,2013-14,64,146,370,61,8,486
East Side Community School,666,2014-15,62,143,376,72,13,494
East Side Community School,677,2015-16,73,139,361,81,23,471
East Side Community School,699,2016-17,78,126,381,93,21,475
East Side Community School,683,2017-18,81,113,367,100,22,442
Forsyth Satellite Academy,224,2013-14,5,83,127,8,1,180
Forsyth Satellite Academy,179,2014-15,2,76,97,3,1,147
Forsyth Satellite Academy,215,2015-16,3,79,129,3,1,153
Forsyth Satellite Academy,212,2016-17,1,76,127,7,1,145
Forsyth Satellite Academy,203,2017-18,1,70,121,9,2,174
Marta Valle High School,401,2013-14,26,165,196,7,7,337
Marta Valle High School,363,2014-15,21,145,185,10,2,312
Marta Valle High School,272,2015-16,9,115,142,5,1,245
Marta Valle High School,204,2016-17,6,72,121,4,1,186
Marta Valle High School,148,2017-18,7,47,88,4,2,138
Lower East Side Preparatory High School,551,2013-14,380,48,109,5,9,236
Lower East Side Preparatory High School,528,2014-15,343,48,125,7,5,203
Lower East Side Preparatory High School,564,2015-16,333,68,149,8,6,198
Lower East Side Preparatory High School,559,2016-17,347,60,139,10,3,186
Lower East Side Preparatory High School,557,2017-18,318,58,165,10,6,417
"New Explorations into Science, Technology and Math",1725,2013-14,559,160,195,742,69,479
"New Explorations into Science, Technology and Math",1735,2014-15,577,158,190,722,88,490
"New Explorations into Science, Technology and Math",1753,2015-16,579,153,198,732,91,478
"New Explorations into Science, Technology and Math",1745,2016-17,579,140,193,720,113,441
"New Explorations into Science, Technology and Math",1734,2017-18,575,134,204,692,129,395
Cascades High School,230,2014-15,8,89,120,11,2,172
Cascades High School,233,2015-16,9,78,129,15,2,172
Cascades High School,239,2016-17,9,82,131,13,4,185
Cascades High School,241,2017-18,10,95,127,5,4,201
Bard High School Early College,560,2013-14,90,77,106,268,19,162
Bard High School Early College,545,2014-15,93,94,101,248,9,191
Bard High School Early College,535,2015-16,122,86,88,228,11,222
Bard High School Early College,548,2016-17,141,88,97,213,9,250
Bard High School Early College,588,2017-18,167,80,100,230,11,256
Tompkins Square Middle School,377,2013-14,86,58,159,65,9,261
Tompkins Square Middle School,368,2014-15,81,53,149,71,14,255
Tompkins Square Middle School,371,2015-16,87,59,138,75,12,257
Tompkins Square Middle School,374,2016-17,99,60,132,72,11,251
Tompkins Square Middle School,373,2017-18,86,51,144,78,14,257
P.S. 001 Alfred E. Smith,496,2013-14,338,55,97,1,5,350
P.S. 001 Alfred E. Smith,465,2014-15,310,52,95,6,2,311
P.S. 001 Alfred E. Smith,400,2015-16,257,49,87,4,3,246
P.S. 001 Alfred E. Smith,356,2016-17,216,41,84,11,4,204
P.S. 001 Alfred E. Smith,318,2017-18,170,56,82,6,4,250
P.S. 002 Meyer London,822,2013-14,707,35,66,14,0,792
P.S. 002 Meyer London,760,2014-15,651,33,64,12,0,740
P.S. 002 Meyer London,672,2015-16,573,27,63,8,1,649
P.S. 002 Meyer London,603,2016-17,487,34,75,7,0,579
P.S. 002 Meyer London,552,2017-18,434,29,82,5,2,533
P.S. 003 Charrette School,808,2013-14,57,41,106,550,54,128
P.S. 003 Charrette School,809,2014-15,52,44,95,565,53,132
P.S. 003 Charrette School,789,2015-16,56,42,97,553,41,132
P.S. 003 Charrette School,778,2016-17,52,42,105,538,41,115
P.S. 003 Charrette School,753,2017-18,65,43,104,502,39,157
P.S. 006 Lillie D. Blake,751,2013-14,78,17,66,549,41,44
P.S. 006 Lillie D. Blake,726,2014-15,82,18,54,547,25,55
P.S. 006 Lillie D. Blake,700,2015-16,91,15,50,526,18,46
P.S. 006 Lillie D. Blake,683,2016-17,89,14,50,512,18,44
P.S. 006 Lillie D. Blake,694,2017-18,103,17,45,517,12,80
P.S. 011 William T. Harris,820,2013-14,105,78,221,398,18,261
P.S. 011 William T. Harris,872,2014-15,111,64,242,424,31,255
P.S. 011 William T. Harris,921,2015-16,133,63,234,452,39,260
P.S. 011 William T. Harris,931,2016-17,139,68,224,458,42,262
P.S. 011 William T. Harris,923,2017-18,146,57,223,437,60,271
P.S. 033 Chelsea Prep,576,2013-14,144,84,171,140,37,300
P.S. 033 Chelsea Prep,634,2014-15,158,75,197,161,43,314
P.S. 033 Chelsea Prep,639,2015-16,161,76,190,169,43,298
P.S. 033 Chelsea Prep,622,2016-17,142,89,178,159,54,286
P.S. 033 Chelsea Prep,650,2017-18,147,117,183,149,54,309
P.S. 040 Augustus Saint-Gaudens,594,2013-14,59,19,81,398,37,69
P.S. 040 Augustus Saint-Gaudens,624,2014-15,57,18,85,401,63,54
P.S. 040 Augustus Saint-Gaudens,631,2015-16,54,18,84,402,73,53
P.S. 040 Augustus Saint-Gaudens,650,2016-17,70,18,93,402,67,54
P.S. 040 Augustus Saint-Gaudens,673,2017-18,80,10,95,415,73,63
P.S. 041 Greenwich Village,791,2013-14,79,19,71,563,59,40
P.S. 041 Greenwich Village,757,2014-15,71,16,72,518,80,31
P.S. 041 Greenwich Village,721,2015-16,66,13,69,498,75,29
P.S. 041 Greenwich Village,699,2016-17,57,13,62,483,84,31
P.S. 041 Greenwich Village,694,2017-18,54,9,72,479,80,60
P.S. 042 Benjamin Altman,792,2013-14,741,10,26,15,0,560
P.S. 042 Benjamin Altman,776,2014-15,716,7,29,20,4,520
P.S. 042 Benjamin Altman,737,2015-16,686,2,30,15,4,455
P.S. 042 Benjamin Altman,654,2016-17,598,4,34,14,4,371
P.S. 042 Benjamin Altman,653,2017-18,579,9,44,16,5,493
47 The American Sign Language and English Secondar,184,2013-14,5,49,120,8,2,155
47 The American Sign Language and English Secondar,169,2014-15,2,48,109,9,1,141
47 The American Sign Language and English Secondar,186,2015-16,3,50,118,12,3,159
47 The American Sign Language and English Secondar,179,2016-17,3,55,110,8,3,160
47 The American Sign Language and English Secondar,165,2017-18,3,47,107,5,3,145
P.S. 051 Elias Howe,304,2013-14,59,40,151,44,10,171
P.S. 051 Elias Howe,350,2014-15,74,43,166,60,7,209
P.S. 051 Elias Howe,370,2015-16,87,45,157,73,8,176
P.S. 051 Elias Howe,389,2016-17,81,47,177,78,6,182
P.S. 051 Elias Howe,453,2017-18,81,72,205,81,14,265
P.S. 059 Beekman Hill International,598,2013-14,66,18,93,373,48,72
P.S. 059 Beekman Hill International,596,2014-15,78,14,85,360,59,66
P.S. 059 Beekman Hill International,573,2015-16,88,12,74,340,59,66
P.S. 059 Beekman Hill International,576,2016-17,95,11,66,345,59,56
P.S. 059 Beekman Hill International,614,2017-18,108,8,64,377,57,54
P.S. 77 Lower Lab School,348,2013-14,74,3,26,217,28,23
P.S. 77 Lower Lab School,350,2014-15,79,3,22,218,28,18
P.S. 77 Lower Lab School,345,2015-16,93,1,18,202,31,15
P.S. 77 Lower Lab School,359,2016-17,108,1,17,195,38,15
P.S. 77 Lower Lab School,358,2017-18,112,1,22,181,42,20
P.S. 89,472,2013-14,65,7,72,297,31,19
P.S. 89,442,2014-15,64,10,66,274,28,17
P.S. 89,425,2015-16,70,8,61,264,22,15
P.S. 89,412,2016-17,67,9,66,251,19,12
P.S. 89,433,2017-18,75,7,62,255,34,85
J.H.S. 104 Simon Baruch,1034,2013-14,520,102,197,201,14,689
J.H.S. 104 Simon Baruch,1073,2014-15,479,95,216,262,21,667
J.H.S. 104 Simon Baruch,1113,2015-16,441,90,235,312,35,621
J.H.S. 104 Simon Baruch,1145,2016-17,412,86,215,388,44,529
J.H.S. 104 Simon Baruch,1134,2017-18,382,85,215,393,59,497
P.S. 111 Adolph S. Ochs,533,2013-14,65,87,307,65,9,337
P.S. 111 Adolph S. Ochs,465,2014-15,69,76,257,53,10,282
P.S. 111 Adolph S. Ochs,393,2015-16,71,63,195,50,14,197
P.S. 111 Adolph S. Ochs,334,2016-17,57,47,157,62,11,173
P.S. 111 Adolph S. Ochs,395,2017-18,66,59,188,67,15,238
East Side Middle School,443,2013-14,54,15,44,323,7,62
East Side Middle School,449,2014-15,66,14,46,305,18,51
East Side Middle School,441,2015-16,66,13,40,290,32,41
East Side Middle School,443,2016-17,62,14,40,289,38,31
East Side Middle School,450,2017-18,55,16,40,304,35,49
P.S. 116 Mary Lindley Murray,724,2013-14,138,63,159,313,51,270
P.S. 116 Mary Lindley Murray,696,2014-15,131,66,145,309,45,251
P.S. 116 Mary Lindley Murray,638,2015-16,126,56,138,278,40,222
P.S. 116 Mary Lindley Murray,585,2016-17,122,63,123,240,37,211
P.S. 116 Mary Lindley Murray,539,2017-18,112,63,109,218,37,193
P.S. 124 Yung Wing,866,2013-14,812,7,29,13,5,432
P.S. 124 Yung Wing,864,2014-15,815,5,26,15,3,402
P.S. 124 Yung Wing,810,2015-16,767,3,22,12,6,368
P.S. 124 Yung Wing,785,2016-17,741,2,16,12,14,336
P.S. 124 Yung Wing,724,2017-18,683,0,15,12,14,394
P.S. 126 Jacob August Riis,841,2013-14,472,82,195,84,8,664
P.S. 126 Jacob August Riis,811,2014-15,450,92,177,77,15,640
P.S. 126 Jacob August Riis,759,2015-16,445,84,157,58,15,608
P.S. 126 Jacob August Riis,791,2016-17,471,78,159,62,21,630
P.S. 126 Jacob August Riis,784,2017-18,487,73,141,62,21,624
P.S. 130 Hernando De Soto,999,2013-14,870,9,47,47,26,525
P.S. 130 Hernando De Soto,999,2014-15,874,10,44,45,26,489
P.S. 130 Hernando De Soto,970,2015-16,853,9,49,33,26,470
P.S. 130 Hernando De Soto,962,2016-17,849,10,46,32,25,444
P.S. 130 Hernando De Soto,913,2017-18,798,9,44,30,32,433
M.S. 131,445,2013-14,334,44,65,1,1,431
M.S. 131,406,2014-15,325,33,47,1,0,387
M.S. 131,420,2015-16,324,34,60,2,0,401
M.S. 131,457,2016-17,382,26,43,3,3,428
M.S. 131,436,2017-18,355,26,46,8,1,407
The Urban Assembly School for Emergency Management,116,2013-14,5,26,80,3,2,90
The Urban Assembly School for Emergency Management,193,2014-15,11,54,121,5,2,156
The Urban Assembly School for Emergency Management,257,2015-16,18,76,150,10,3,185
The Urban Assembly School for Emergency Management,315,2016-17,18,84,193,15,5,207
The Urban Assembly School for Emergency Management,281,2017-18,18,83,166,9,5,229
Stephen T. Mather Building Arts & Craftsmanship Hi,85,2013-14,4,18,47,12,4,71
Stephen T. Mather Building Arts & Craftsmanship Hi,193,2014-15,7,47,119,17,3,164
Stephen T. Mather Building Arts & Craftsmanship Hi,282,2015-16,8,75,177,17,5,217
Stephen T. Mather Building Arts & Craftsmanship Hi,378,2016-17,10,99,235,28,6,313
Stephen T. Mather Building Arts & Craftsmanship Hi,394,2017-18,8,102,260,19,5,330
P.S. 150,184,2013-14,22,18,28,103,13,31
P.S. 150,184,2014-15,23,14,27,100,20,29
P.S. 150,184,2015-16,29,10,25,101,19,26
P.S. 150,186,2016-17,30,7,22,106,21,16
P.S. 150,187,2017-18,39,2,20,109,17,22
Yorkville Community School,485,2013-14,31,63,120,243,28,176
Yorkville Community School,572,2014-15,40,80,143,269,40,222
Yorkville Community School,548,2015-16,36,77,148,256,31,223
Yorkville Community School,537,2016-17,34,77,131,264,31,216
Yorkville Community School,515,2017-18,35,78,116,255,31,217
P.S. 158 Bayard Taylor,747,2013-14,78,30,77,535,27,99
P.S. 158 Bayard Taylor,761,2014-15,83,29,83,538,28,101
P.S. 158 Bayard Taylor,763,2015-16,83,29,75,544,32,89
P.S. 158 Bayard Taylor,781,2016-17,99,18,60,564,40,81
P.S. 158 Bayard Taylor,793,2017-18,94,22,60,571,46,95
J.H.S. 167 Robert F. Wagner,1345,2013-14,378,111,311,518,27,635
J.H.S. 167 Robert F. Wagner,1364,2014-15,375,132,298,523,36,643
J.H.S. 167 Robert F. Wagner,1343,2015-16,372,112,251,562,46,593
J.H.S. 167 Robert F. Wagner,1357,2016-17,316,110,235,638,58,456
J.H.S. 167 Robert F. Wagner,1336,2017-18,280,80,213,696,67,409
Yorkville East Middle School,56,2014-15,7,5,16,24,4,20
Yorkville East Middle School,142,2015-16,16,15,42,60,9,53
Yorkville East Middle School,213,2016-17,21,22,57,102,11,61
Yorkville East Middle School,233,2017-18,20,28,59,115,11,80
P.S. 183 Robert L. Stevenson,606,2013-14,101,29,55,399,22,57
P.S. 183 Robert L. Stevenson,595,2014-15,116,22,60,380,17,57
P.S. 183 Robert L. Stevenson,555,2015-16,94,22,58,367,14,47
P.S. 183 Robert L. Stevenson,567,2016-17,96,19,49,384,19,38
P.S. 183 Robert L. Stevenson,588,2017-18,98,14,52,400,24,66
P.S. 198 Isador E. Ida Straus,495,2013-14,65,71,187,168,4,285
P.S. 198 Isador E. Ida Straus,462,2014-15,65,63,142,187,5,235
P.S. 198 Isador E. Ida Straus,498,2015-16,80,52,133,226,7,214
P.S. 198 Isador E. Ida Straus,468,2016-17,95,43,107,212,11,187
P.S. 198 Isador E. Ida Straus,461,2017-18,96,46,108,197,14,176
P.S. 212 Midtown West,343,2013-14,37,29,74,173,30,81
P.S. 212 Midtown West,361,2014-15,28,25,79,181,48,70
P.S. 212 Midtown West,378,2015-16,39,22,86,181,50,81
P.S. 212 Midtown West,375,2016-17,46,21,90,181,37,80
P.S. 212 Midtown West,366,2017-18,51,23,89,171,32,82
P.S./I.S. 217 Roosevelt Island,518,2013-14,141,114,89,163,11,208
P.S./I.S. 217 Roosevelt Island,536,2014-15,149,99,85,184,19,189
P.S./I.S. 217 Roosevelt Island,587,2015-16,171,92,84,213,27,212
P.S./I.S. 217 Roosevelt Island,613,2016-17,180,81,93,233,26,206
P.S./I.S. 217 Roosevelt Island,616,2017-18,185,70,92,237,32,208
Ella Baker School,319,2013-14,16,78,140,70,15,136
Ella Baker School,323,2014-15,12,68,135,90,18,140
Ella Baker School,335,2015-16,12,62,124,118,19,134
Ella Baker School,311,2016-17,18,52,117,102,22,113
Ella Baker School,320,2017-18,18,53,103,119,27,107
P.S. 234 Independence School,785,2013-14,100,18,65,542,60,45
P.S. 234 Independence School,729,2014-15,84,7,55,512,71,35
P.S. 234 Independence School,704,2015-16,75,9,59,491,70,23
P.S. 234 Independence School,683,2016-17,72,11,55,476,69,33
P.S. 234 Independence School,642,2017-18,61,9,49,463,60,63
M.S. 255 Salk School of Science,378,2013-14,79,18,38,233,10,61
M.S. 255 Salk School of Science,365,2014-15,78,14,31,232,10,41
M.S. 255 Salk School of Science,374,2015-16,70,12,35,234,23,42
M.S. 255 Salk School of Science,390,2016-17,72,9,40,238,31,42
M.S. 255 Salk School of Science,386,2017-18,64,7,44,237,34,41
M.S. 260 Clinton School Writers & Artists,266,2013-14,38,30,56,136,6,87
M.S. 260 Clinton School Writers & Artists,270,2014-15,41,17,38,165,9,56
M.S. 260 Clinton School Writers & Artists,376,2015-16,52,22,38,246,18,55
M.S. 260 Clinton School Writers & Artists,489,2016-17,63,25,55,314,32,52
M.S. 260 Clinton School Writers & Artists,604,2017-18,76,28,69,387,44,82
"East Side Elementary School, PS 267",261,2013-14,25,4,14,213,5,20
"East Side Elementary School, PS 267",320,2014-15,29,5,20,258,8,24
"East Side Elementary School, PS 267",365,2015-16,39,6,27,285,8,25
"East Side Elementary School, PS 267",401,2016-17,42,5,35,313,6,24
"East Side Elementary School, PS 267",398,2017-18,48,2,45,296,7,41
Battery Park City School,875,2013-14,199,39,110,476,51,103
Battery Park City School,857,2014-15,191,39,99,475,53,77
Battery Park City School,872,2015-16,179,38,95,491,69,62
Battery Park City School,850,2016-17,169,42,90,482,67,74
Battery Park City School,827,2017-18,162,34,109,447,75,104
Manhattan Early College School for Advertising,97,2014-15,7,31,42,16,1,72
Manhattan Early College School for Advertising,191,2015-16,19,61,82,21,8,153
Manhattan Early College School for Advertising,279,2016-17,19,98,124,26,12,228
Manhattan Early College School for Advertising,367,2017-18,23,127,173,29,15,294
The River School,85,2013-14,30,3,15,34,3,24
The River School,104,2014-15,42,8,13,40,1,34
The River School,152,2015-16,46,14,24,66,2,48
The River School,187,2016-17,54,19,26,83,5,42
The River School,272,2017-18,89,23,35,118,7,75
Urban Assembly Maker Academy,103,2014-15,11,25,47,10,10,84
Urban Assembly Maker Academy,199,2015-16,20,49,100,19,11,153
Urban Assembly Maker Academy,290,2016-17,34,76,135,29,16,223
Urban Assembly Maker Academy,386,2017-18,40,101,180,40,25,287
Food and Finance High School,443,2013-14,22,185,216,18,2,366
Food and Finance High School,427,2014-15,20,170,222,13,2,339
Food and Finance High School,410,2015-16,19,167,215,7,2,345
Food and Finance High School,400,2016-17,20,155,208,7,10,318
Food and Finance High School,378,2017-18,17,150,188,10,13,333
I.S. 289,293,2013-14,102,29,44,114,4,114
I.S. 289,292,2014-15,103,23,46,112,8,101
I.S. 289,289,2015-16,111,24,37,110,7,121
I.S. 289,281,2016-17,118,16,34,106,7,123
I.S. 289,283,2017-18,125,11,32,109,6,142
P.S. 290 Manhattan New School,675,2013-14,83,15,49,488,40,82
P.S. 290 Manhattan New School,646,2014-15,75,9,46,479,37,65
P.S. 290 Manhattan New School,627,2015-16,68,9,54,455,41,63
P.S. 290 Manhattan New School,592,2016-17,64,13,48,428,39,64
P.S. 290 Manhattan New School,631,2017-18,68,14,55,454,40,69
Essex Street Academy,349,2013-14,19,113,177,25,15,256
Essex Street Academy,358,2014-15,21,138,148,42,9,246
Essex Street Academy,356,2015-16,21,136,154,27,18,254
Essex Street Academy,352,2016-17,18,139,149,23,23,257
Essex Street Academy,340,2017-18,21,130,139,20,30,234
High School of Hospitality Management,431,2013-14,24,99,294,9,5,397
High School of Hospitality Management,424,2014-15,21,89,301,8,5,382
High School of Hospitality Management,402,2015-16,16,97,274,8,7,363
High School of Hospitality Management,398,2016-17,12,107,256,11,12,366
High School of Hospitality Management,391,2017-18,16,110,235,10,20,359
M.S. 297,193,2017-18,17,18,37,116,5,58
Pace High School,421,2013-14,41,149,176,8,47,341
Pace High School,423,2014-15,58,118,192,8,47,342
Pace High School,478,2015-16,47,152,245,7,27,383
Pace High School,508,2016-17,43,162,267,13,23,379
Pace High School,537,2017-18,43,177,272,21,24,425
"Urban Assembly School of Design and Construction,",427,2013-14,27,133,253,13,1,342
"Urban Assembly School of Design and Construction,",414,2014-15,25,122,247,12,8,335
"Urban Assembly School of Design and Construction,",400,2015-16,15,109,256,12,8,313
"Urban Assembly School of Design and Construction,",391,2016-17,14,99,260,11,7,313
"Urban Assembly School of Design and Construction,",356,2017-18,18,86,239,5,8,306
"Facing History School, The",417,2013-14,6,117,285,5,4,306
"Facing History School, The",406,2014-15,7,111,275,8,5,301
"Facing History School, The",409,2015-16,8,114,270,11,6,291
"Facing History School, The",431,2016-17,7,111,297,7,9,305
"Facing History School, The",382,2017-18,5,94,271,6,6,310
"Urban Assembly Academy of Government and Law, The",326,2013-14,20,132,163,10,1,270
"Urban Assembly Academy of Government and Law, The",329,2014-15,19,138,162,9,1,271
"Urban Assembly Academy of Government and Law, The",331,2015-16,20,131,166,13,1,264
"Urban Assembly Academy of Government and Law, The",316,2016-17,16,116,173,10,1,265
"Urban Assembly Academy of Government and Law, The",307,2017-18,11,123,162,8,3,260
Lower Manhattan Arts Academy,362,2013-14,31,104,203,13,11,223
Lower Manhattan Arts Academy,383,2014-15,32,108,217,13,13,240
Lower Manhattan Arts Academy,353,2015-16,34,93,199,10,17,212
Lower Manhattan Arts Academy,354,2016-17,31,97,196,11,19,204
Lower Manhattan Arts Academy,329,2017-18,27,91,183,9,19,242
New York City Lab Middle School for Collaborative,573,2013-14,236,16,51,224,46,186
New York City Lab Middle School for Collaborative,558,2014-15,249,11,40,214,44,193
New York City Lab Middle School for Collaborative,551,2015-16,258,13,41,189,50,159
New York City Lab Middle School for Collaborative,541,2016-17,281,10,31,181,38,164
New York City Lab Middle School for Collaborative,554,2017-18,305,11,36,166,36,212
"James Baldwin School, The: A School for Expedition",260,2013-14,4,113,125,16,2,189
"James Baldwin School, The: A School for Expedition",259,2014-15,4,112,125,17,1,198
"James Baldwin School, The: A School for Expedition",265,2015-16,2,118,129,13,3,202
"James Baldwin School, The: A School for Expedition",267,2016-17,3,116,130,14,4,197
"James Baldwin School, The: A School for Expedition",258,2017-18,7,106,130,13,2,208
"Urban Assembly School of Business for Young Women,",412,2013-14,16,196,169,8,23,345
"Urban Assembly School of Business for Young Women,",405,2014-15,14,214,160,8,9,330
"Urban Assembly School of Business for Young Women,",359,2015-16,12,196,127,9,15,301
"Urban Assembly School of Business for Young Women,",275,2016-17,7,156,92,4,16,222
NYC iSchool,449,2016-17,35,83,131,164,36,170
"Urban Assembly School of Business for Young Women,",232,2017-18,6,136,72,6,12,191
Sixth Avenue Elementary School,83,2014-15,8,4,14,46,11,5
Sixth Avenue Elementary School,155,2015-16,15,7,22,99,12,17
Sixth Avenue Elementary School,208,2016-17,19,6,22,136,25,13
Sixth Avenue Elementary School,277,2017-18,20,10,36,178,33,27
The Peck Slip School,123,2013-14,17,7,16,70,13,10
The Peck Slip School,161,2014-15,24,6,18,95,18,12
The Peck Slip School,279,2015-16,45,9,37,165,23,35
The Peck Slip School,377,2016-17,62,15,50,209,41,27
The Peck Slip School,441,2017-18,81,20,52,231,57,41
